Nationality,Total Students,F-1 Validity Period,USA,USA Reapply,USA Reciprocity,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis
Russian Federation,11,12,510,160,0,0,80,52.56,88.86,177.64,124.11,50,1243.17,,🇷🇺
Saudi Arabia,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇸🇦
Singapore,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇸🇬
Slovakia,1,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,European Union country.,🇸🇰
South Africa,4,36,510,160,0,0,60,4.284,88.86,177.64,124.11,50,1174.894,,🇿🇦
South Korea,12,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇰🇷
Spain,1,60,510,0,0,0,0,91.53,0,177.64,124.11,50,953.28,European Union country.,🇪🇸
Sweden,5,48,510,0,240,0,60,91.53,0,177.64,124.11,50,1253.28,European Union country.,🇸🇪
Taiwan,10,60,510,0,0,0,0,91.53,88.86,177.64,124.11,0,992.14,,🇹🇼
Thailand,2,12,510,160,40,40,0,91.53,88.86,177.64,124.11,50,1282.14,,🇹🇭
Trinidad & Tobago,1,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇹🇹
Tunisia,2,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇹🇳
Turkey,6,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇹🇷
Uganda,1,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇺🇬
Ukraine,38,36,510,160,0,0,0,96.41,88.86,177.64,124.11,50,1207.02,,🇺🇦
United Arab Emirates,1,48,510,0,1125,0,60,91.53,88.86,177.64,124.11,50,2227.14,,🇦🇪
United Kingdom,7,60,510,0,0,0,200,236.72,88.86,177.64,0,50,1263.22,,🇬🇧
United States,76,0,0,0,0,0,45,111.02,88.86,177.64,124.11,50,596.63,,🇺🇸
Uruguay,2,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇺🇾
Uzbekistan,1,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇺🇿
Venezuela,2,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,,🇻🇪
Vietnam,35,12,510,160,0,0,50,91.53,88.86,177.64,124.11,50,1252.14,,🇻🇳
Zimbabwe,1,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,,🇿🇼
